"ID","Active (0/1)","Name *","Categories (x","y","z...)","Price tax excluded or Price tax included","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference #","Supplier reference #","Supplier","Manufacturer","EAN13","UPC","Ecotax","Width","Height","Depth","Weight","Quantity","Minimal quantity","Visibility","Additional shipping cost","Unity","Unit price","Short description","Description","Tags (x","y","z...)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No"," 1 = Yes)","Product available date","Product creation date","Show price (0 = No"," 1 = Yes)","Image URLs (x","y","z...)","Delete existing images (0 = No"," 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No"," 1 = Yes)","Condition","Customizable (0 = No"," 1 = Yes)","Uploadable files (0 = No"," 1 = Yes)","Text fields (0 = No"," 1 = Yes)","Out of stock","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse"
47,1,Защитная пленка MyScreen Lenovo A316 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
48,1,Защитная пленка MyScreen Lenovo A316 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
49,1,Защитная пленка MyScreen iPad mini 2 antiCRASH,Защитные пленки,709.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
50,1,Защитная пленка MyScreen HTC ONE mini Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
51,1,Защитная пленка MyScreen iPad Air BodyGuard,Защитные пленки,339.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
52,1,Защитная пленка MyScreen HTC ONE M9 Crystal antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
53,1,Защитная пленка MyScreen HTC ONE BodeGuard,Защитные пленки,279.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
54,1,Защитная пленка MyScreen HTC One M9 antiReflex antiBacterial,Защитные пленки,109.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
55,1,Защитная пленка MyScreen Fly Life Connect 7.85 antiReflex antiBacterial,Защитные пленки,249.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
56,1,Защитная пленка MyScreen FLY IQ458 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
